id,name,type,district,revenue,employees,established_year
1,カフェ・モカ,カフェ,中央区,5000000,8,2018
2,レストラン・花,レストラン,港区,12000000,15,2015
3,コンビニ・エース,コンビニ,新宿区,8000000,12,2020
4,美容院・サクラ,美容院,渋谷区,6000000,6,2017
5,書店・知識,書店,品川区,3000000,4,2019
6,薬局・健康,薬局,世田谷区,4500000,5,2016
7,クリニック・メディカル,病院,目黒区,25000000,25,2014
8,保育園・キッズ,保育園,杉並区,8000000,20,2018
9,ジム・フィット,フィットネス,練馬区,4000000,6,2021
10,銀行・セキュリティ,銀行,江東区,50000000,50,2010
11,不動産・ハウス,不動産,墨田区,12000000,18,2016
12,法律事務所・リーガル,法律,台東区,15000000,12,2013
13,大学・アカデミー,教育,文京区,80000000,200,2005
14,コンサル・アドバイザー,コンサル,千代田区,30000000,30,2012
15,保険・プロテクト,保険,豊島区,20000000,40,2011
16,編集・メディア,出版,北区,8000000,15,2017
17,工場・マニュファクチャー,製造,板橋区,15000000,35,2008
18,スーパー・マーケット,小売,足立区,18000000,45,2015
19,タクシー・モビリティ,運輸,葛飾区,12000000,30,2016
20,レストラン・和食,レストラン,江戸川区,10000000,20,2019
21,カフェ・ブレンド,カフェ,中央区,4500000,7,2020
22,美容院・エレガンス,美容院,港区,7000000,8,2018
23,コンビニ・コンビニエンス,コンビニ,新宿区,9000000,14,2021
24,書店・ブックワールド,書店,渋谷区,3500000,5,2019
25,薬局・ファーマシー,薬局,品川区,5000000,6,2017
26,クリニック・ケア,病院,世田谷区,20000000,22,2015
27,保育園・チャイルド,保育園,目黒区,9000000,22,2019
28,ジム・ストロング,フィットネス,杉並区,4500000,7,2022
29,銀行・トラスト,銀行,練馬区,45000000,45,2011
30,不動産・プロパティ,不動産,江東区,14000000,20,2017
31,法律事務所・ジャスティス,法律,墨田区,18000000,15,2014
32,大学・ユニバーシティ,教育,台東区,75000000,180,2006
33,コンサル・ストラテジー,コンサル,文京区,35000000,35,2013
34,保険・セーフティ,保険,千代田区,22000000,45,2012
35,編集・コンテンツ,出版,豊島区,9000000,18,2018
36,工場・プロダクション,製造,北区,16000000,38,2009
37,スーパー・フード,小売,板橋区,20000000,50,2016
38,タクシー・トランスポート,運輸,足立区,13000000,32,2017
39,レストラン・洋食,レストラン,葛飾区,11000000,22,2020
40,カフェ・エスプレッソ,カフェ,江戸川区,4800000,8,2021
41,美容院・スタイル,美容院,中央区,6500000,7,2019
42,コンビニ・クイック,コンビニ,港区,8500000,13,2022
43,書店・リテラチャー,書店,新宿区,3200000,4,2020
44,薬局・ドラッグ,薬局,渋谷区,5200000,7,2018
45,クリニック・ヘルス,病院,品川区,22000000,24,2016
46,保育園・ベビー,保育園,世田谷区,8500000,21,2020
