id,name,type,district,revenue,employees,established_year
1,カフェ・モカ,カフェ,2B,5000000,8,2018
2,レストラン・花,レストラン,2D,12000000,15,2015
3,コンビニ・エース,コンビニ,3B,8000000,12,2020
4,美容院・サクラ,美容院,1D,6000000,6,2017
5,書店・知識,書店,1C,3000000,4,2019
6,薬局・健康,薬局,3B,4500000,5,2016
7,クリニック・メディカル,病院,2B,25000000,25,2014
8,保育園・キッズ,保育園,1B,8000000,20,2018
9,ジム・フィット,フィットネス,1C,4000000,6,2021
10,銀行・セキュリティ,銀行,1C,50000000,50,2010
11,不動産・ハウス,不動産,3B,12000000,18,2016
12,法律事務所・リーガル,法律,3C,15000000,12,2013
13,大学・アカデミー,教育,1C,80000000,200,2005
14,コンサル・アドバイザー,コンサル,1C,30000000,30,2012
15,保険・プロテクト,保険,3B,20000000,40,2011
16,編集・メディア,出版,3D,8000000,15,2017
17,工場・マニュファクチャー,製造,2D,15000000,35,2008
18,スーパー・マーケット,小売,2D,18000000,45,2015
19,タクシー・モビリティ,運輸,1B,12000000,30,2016
20,レストラン・和食,レストラン,3C,10000000,20,2019
21,カフェ・ブレンド,カフェ,3B,4500000,7,2020
22,美容院・エレガンス,美容院,1C,7000000,8,2018
23,コンビニ・コンビニエンス,コンビニ,1B,9000000,14,2021
24,書店・ブックワールド,書店,3C,3500000,5,2019
25,薬局・ファーマシー,薬局,2D,5000000,6,2017
26,クリニック・ケア,病院,2B,20000000,22,2015
27,保育園・チャイルド,保育園,3C,9000000,22,2019
28,ジム・ストロング,フィットネス,3B,4500000,7,2022
29,銀行・トラスト,銀行,3C,45000000,45,2011
30,不動産・プロパティ,不動産,1B,14000000,20,2017
31,法律事務所・ジャスティス,法律,1C,18000000,15,2014
32,大学・ユニバーシティ,教育,3B,75000000,180,2006
33,コンサル・ストラテジー,コンサル,2D,35000000,35,2013
34,保険・セーフティ,保険,3C,22000000,45,2012
35,編集・コンテンツ,出版,1B,9000000,18,2018
36,工場・プロダクション,製造,3C,16000000,38,2009
37,スーパー・フード,小売,2B,20000000,50,2016
38,タクシー・トランスポート,運輸,2D,13000000,32,2017
39,レストラン・洋食,レストラン,3B,11000000,22,2020
40,カフェ・エスプレッソ,カフェ,3D,4800000,8,2021
41,美容院・スタイル,美容院,3D,6500000,7,2019
42,コンビニ・クイック,コンビニ,1B,8500000,13,2022
43,書店・リテラチャー,書店,3D,3200000,4,2020
44,薬局・ドラッグ,薬局,1C,5200000,7,2018
45,クリニック・ヘルス,病院,2D,22000000,24,2016
46,保育園・ベビー,保育園,1D,8500000,21,2020
47,ジム・パワー,フィットネス,1C,4200000,6,2023
48,銀行・セーフティ,銀行,1C,48000000,48,2012
49,不動産・エステート,不動産,3D,13000000,19,2018
50,法律事務所・ロイヤー,法律,1D,16000000,14,2015
51,大学・カレッジ,教育,3D,70000000,160,2007
52,コンサル・マネジメント,コンサル,3D,32000000,32,2014
